customer_city,item_revenue,share,cum_share,rank
Sertaozinho,6699.33,0.00050875705889664,0.7590321244557644,277
Juazeiro Do Norte,6698.0,0.0005086560567235372,0.759540780512488,278
Apucarana,6684.36,0.0005076202148881074,0.7600484007273761,279
Cosmopolis,6668.9,0.0005064461595526422,0.7605548468869288,280
Ouro Preto,6660.0599999999995,0.0005057748368381848,0.761060621723767,281
Bento Goncalves,6648.58,0.0005049030286071925,0.7615655247523742,282
Varzea Grande,6642.85,0.0005044678839065317,0.7620699926362807,283
Itapeva,6635.93,0.0005039423688404632,0.7625739350051212,284
Paracambi,6571.96,0.0004990843921386709,0.7630730193972598,285
Sao Mateus,6569.97,0.0004989332685864345,0.7635719526658462,286
Itaborai,6555.85,0.0004978609748389074,0.7640698136406852,287
Peruibe,6531.12,0.0004959829419510643,0.7645657965826362,288
Paulo Afonso,6492.59,0.0004930569165904256,0.7650588534992266,289
Tupa,6483.03,0.0004923309160078222,0.7655511844152345,290
Viamao,6479.31,0.0004920484136890687,0.7660432328289236,291
Erechim,6420.89,0.00048761191222090075,0.7665308447411445,292
Uba,6369.76,0.00048372902416770957,0.7670145737653122,293
Arapongas,6325.06,0.0004803344398536543,0.7674949082051659,294
Andradina,6302.53,0.00047862347822959017,0.7679735316833954,295
Osorio,6251.24,0.00047472843953903326,0.7684482601229344,296
Alagoinhas,6249.23,0.0004745757971571261,0.7689228359200916,297
Embu-Guacu,6244.68,0.00047423026340703774,0.7693970661834986,298
